"Tabela 3939 - Efetivo dos rebanhos, por tipo de rebanho"
"Variável - Efetivo dos rebanhos (Cabeças)"
"Nível";"Cód.";"Brasil, Grande Região, Unidade da Federação, Município, Mesorregião Geográfica e Microrregião Geográfica";"Ano x Tipo de rebanho"
"Nível";"Cód.";"Brasil, Grande Região, Unidade da Federação, Município, Mesorregião Geográfica e Microrregião Geográfica";"2011";"2012";"2013";"2014";"2015";"2016";"2017"
"Nível";"Cód.";"Brasil, Grande Região, Unidade da Federação, Município, Mesorregião Geográfica e Microrregião Geográfica";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino"
"MU";"1303536";"Presidente Figueiredo (AM)";"14700";"13979";"14500";"12907";"11107";"9873";"9606"
"MU";"1303569";"Rio Preto da Eva (AM)";"1890";"1900";"2281";"5490";"4222";"3158";"3527"
"MU";"1303601";"Santa Isabel do Rio Negro (AM)";"336";"380";"299";"344";"247";"251";"174"
"MU";"1303700";"Santo Antônio do Içá (AM)";"1350";"1624";"1400";"1421";"1304";"1121";"1271"
"MU";"1303809";"São Gabriel da Cachoeira (AM)";"295";"250";"120";"140";"90";"90";"120"
"MU";"1303908";"São Paulo de Olivença (AM)";"690";"600";"523";"396";"318";"305";"250"
"MU";"1303957";"São Sebastião do Uatumã (AM)";"13200";"17400";"14000";"11000";"12500";"10000";"11000"
"MU";"1304005";"Silves (AM)";"11638";"12500";"11715";"12500";"11883";"9745";"9017"
"MU";"1304062";"Tabatinga (AM)";"930";"802";"721";"628";"522";"650";"700"
"MU";"1304104";"Tapauá (AM)";"2950";"3080";"2789";"1950";"1950";"1709";"1500"
"MU";"1304203";"Tefé (AM)";"2169";"2462";"1873";"1825";"1577";"1620";"1680"
"MU";"1304237";"Tonantins (AM)";"1800";"1700";"1588";"1588";"1049";"1048";"950"
"MU";"1304260";"Uarini (AM)";"671";"582";"580";"500";"570";"553";"570"
"MU";"1304302";"Urucará (AM)";"27425";"23560";"22500";"23000";"18000";"15668";"15660"
"MU";"1304401";"Urucurituba (AM)";"14858";"16360";"16685";"18642";"14543";"13041";"13452"
"MU";"1400027";"Amajari (RR)";"75308";"78332";"80054";"77654";"86395";"91913";"103026"
"MU";"1400050";"Alto Alegre (RR)";"84419";"82104";"81241";"83005";"84719";"87057";"86153"
"MU";"1400100";"Boa Vista (RR)";"26309";"25944";"27778";"24177";"25529";"24288";"26667"
"MU";"1400159";"Bonfim (RR)";"48658";"50790";"60000";"62401";"66709";"64084";"67177"
"MU";"1400175";"Cantá (RR)";"69941";"76453";"81691";"74644";"73165";"63898";"58096"
"MU";"1400209";"Caracaraí (RR)";"32892";"33205";"29036";"33776";"39328";"38192";"36919"
"MU";"1400233";"Caroebe (RR)";"51985";"51451";"57422";"55793";"62539";"63453";"66995"
"MU";"1400282";"Iracema (RR)";"32816";"36453";"45822";"46784";"51003";"44930";"47054"
"MU";"1400308";"Mucajaí (RR)";"66676";"86249";"113248";"114346";"127775";"128969";"114686"
"MU";"1400407";"Normandia (RR)";"14445";"16930";"20715";"18113";"17690";"15793";"15319"
"MU";"1400456";"Pacaraima (RR)";"17654";"18420";"18336";"17052";"19890";"21380";"21354"
"MU";"1400472";"Rorainópolis (RR)";"47318";"46120";"48656";"51377";"60845";"59956";"65261"
"MU";"1400506";"São João da Baliza (RR)";"25603";"25030";"21946";"22634";"23384";"23430";"22841"
"MU";"1400605";"São Luiz (RR)";"42432";"41960";"40572";"35483";"37081";"38665";"40118"
"MU";"1400704";"Uiramutã (RR)";"15055";"17050";"20528";"18723";"18731";"14869";"15652"
"MU";"1500107";"Abaetetuba (PA)";"1527";"1859";"1858";"1700";"19086";"2408";"2800"
"MU";"1500131";"Abel Figueiredo (PA)";"44422";"46000";"54531";"57517";"54195";"45934";"46364"
"MU";"1500206";"Acará (PA)";"11689";"6372";"10085";"10948";"11982";"10546";"10740"
"MU";"1500305";"Afuá (PA)";"4350";"4410";"1904";"2105";"2364";"1547";"1571"
"MU";"1500347";"Água Azul do Norte (PA)";"545819";"556735";"564582";"585400";"590693";"620683";"643946"
"MU";"1500404";"Alenquer (PA)";"166052";"160908";"168444";"191140";"189902";"190903";"188400"
"MU";"1500503";"Almeirim (PA)";"38326";"39475";"25312";"24124";"21853";"21100";"23414"
"MU";"1500602";"Altamira (PA)";"688901";"668541";"711028";"687535";"628481";"657436";"656430"
"MU";"1500701";"Anajás (PA)";"860";"910";"990";"1024";"970";"950";"960"
"MU";"1500800";"Ananindeua (PA)";"250";"146";"180";"34";"124";"85";"78"
"MU";"1500859";"Anapu (PA)";"175023";"225093";"270460";"262642";"251681";"267860";"202400"
"MU";"1500909";"Augusto Corrêa (PA)";"3177";"3999";"4247";"3795";"3556";"3894";"4006"
"MU";"1500958";"Aurora do Pará (PA)";"82429";"86450";"86266";"81231";"80682";"79862";"79425"
"MU";"1501006";"Aveiro (PA)";"37202";"31160";"43637";"42160";"45668";"47187";"50942"
"MU";"1501105";"Bagre (PA)";"1692";"1744";"1811";"1793";"1834";"1612";"1596"
"MU";"1501204";"Baião (PA)";"70050";"63241";"66420";"64870";"68870";"63570";"70000"
"MU";"1501253";"Bannach (PA)";"195272";"211401";"193334";"240905";"231288";"240080";"258244"
"MU";"1501303";"Barcarena (PA)";"1200";"1100";"1056";"987";"1035";"986";"867"
"MU";"1501402";"Belém (PA)";"550";"422";"503";"173";"310";"108";"95"
"MU";"1501451";"Belterra (PA)";"20729";"24136";"26490";"23843";"23405";"20842";"21310"
"MU";"1501501";"Benevides (PA)";"2417";"3188";"3820";"2697";"2801";"2973";"2560"
"MU";"1501576";"Bom Jesus do Tocantins (PA)";"169293";"174000";"184630";"183657";"187307";"194002";"202037"
"MU";"1501600";"Bonito (PA)";"12232";"10781";"10458";"9255";"9885";"8483";"8445"
"MU";"1501709";"Bragança (PA)";"18750";"21511";"24868";"25688";"25676";"27094";"29928"
"MU";"1501725";"Brasil Novo (PA)";"211000";"217881";"235712";"241027";"233652";"240470";"223901"
"MU";"1501758";"Brejo Grande do Araguaia (PA)";"86300";"77600";"76000";"82000";"89000";"109265";"104940"
"MU";"1501782";"Breu Branco (PA)";"129279";"140792";"155698";"161663";"153350";"151332";"160300"
"MU";"1501808";"Breves (PA)";"2124";"2360";"2426";"2294";"2423";"2215";"2114"
"MU";"1501907";"Bujaru (PA)";"6993";"4661";"4850";"6482";"8229";"6614";"6145"
"MU";"1501956";"Cachoeira do Piriá (PA)";"39995";"41976";"46519";"46341";"47169";"48587";"49848"
"MU";"1502004";"Cachoeira do Arari (PA)";"50940";"43281";"6254";"41295";"34830";"36540";"29845"
"MU";"1502103";"Cametá (PA)";"1881";"450";"413";"501";"980";"564";"493"
"MU";"1502152";"Canaã dos Carajás (PA)";"175000";"180000";"190000";"200000";"205000";"225289";"212903"
"MU";"1502202";"Capanema (PA)";"25651";"27397";"26908";"27498";"27268";"26588";"25495"
